Address,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"6192 Stonelake Dr SW, Atlanta, GA 30331","$349,900 ",7 bds,4 ba,"4,703 sqft","$335,154 ",Single Family,2011,Forced air,Central,Attached Garage,0.29 acres,Great solar potentialSun Numberâ„¢:Â 90.63,"$1,756 ","$1,284/mo",$312/mo,$122/mo,$37/mo
"175 Wynfield Way SW, Atlanta, GA 30331","$457,900 ",4 bds,4 ba,"3,624 sqft","$446,932 ",Single Family,2002,Forced air,Central,Attached Garage,0.47 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$2,357 ","$1,681/mo",$408/mo,$160/mo,$108/mo
"3644 Stone Rd SW, Atlanta, GA 30331","$94,900 ",3 bds,2 ba,"1,488 sqft","$91,385 ",Single Family,1961,Forced air,Central,,0.42 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.23,$507 ,$389/mo,$85/mo,$33/mo,$0/mo
"664 Indigo Ln NW, Atlanta, GA 30318","$244,999 ",4 bds,3 ba,"2,120 sqft","$234,573 ",Single Family,1967,Forced air,Other,5 spaces,0.4 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.22,"$1,228 ",$924/mo,$218/mo,$86/mo,$0/mo
"2666 Dayview Ln, Atlanta, GA 30331","$279,900 ",4 bds,4 ba,"3,456 sqft","$274,517 ",Single Family,2016,,,,0.27 acres,Limited solar potentialSun Numberâ„¢:Â 55.42,"$1,416 ","$1,027/mo",$250/mo,$98/mo,$41/mo
"1425 Oakland Dr SW, Atlanta, GA 30310","$150,000 ",7 bds,2 ba,"1,590 sqft","$144,642 ",Single Family,1930,Forced air,Central,,0.44 acres,Limited solar potentialSun Numberâ„¢:Â 59.42,$752 ,$566/mo,$134/mo,$53/mo,$0/mo
"875 Eleanor Ct NW, Atlanta, GA 30318","$160,000 ",4 bds,2 ba,"1,166 sqft","$155,354 ",Single Family,1963,Forced air,Central,Attached Garage,0.31 acres,Good solar potentialSun Numberâ„¢:Â 60.22,$802 ,$603/mo,$143/mo,$56/mo,$0/mo
"Fieldstone Plan, Summit At Stonewall Tell","$307,990 ",4 bds,3 ba,"2,835 sqft","$295,902 ",Single Family,2019,,,2 spaces,,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,513 ",,,,
"1638 Orlando St SW, Atlanta, GA 30311","$425,000 ",5 bds,3 ba,"3,156 sqft","$416,830 ",Single Family,1950,Forced air,Central,3 spaces,0.29 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.22,"$2,088 ","$1,560/mo",$379/mo,$149/mo,$0/mo
"3224 Topaz Ln SW, Atlanta, GA 30331","$215,000 ",4 bds,4 ba,"2,716 sqft","$208,384 ",Single Family,1972,Forced air,Central,2 spaces,0.7 acres,,"$1,078 ",$811/mo,$192/mo,$75/mo,$0/mo
"5015 Guilford Forest Dr SW, Atlanta, GA 30331","$256,295 ",5 bds,4 ba,"4,376 sqft","$256,295 ",Single Family,2005,Forced air,Central,,0.4 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$1,259 ",$941/mo,$229/mo,$90/mo,$0/mo
"2333 Tiger Flowers Dr NW, Atlanta, GA 30314","$199,800 ",4 bds,3 ba,"2,100 sqft","$195,950 ",Single Family,1949,Forced air,Central,2 spaces,"10,833 sqft",Limited solar potentialSun Numberâ„¢:Â 49.02,"$1,002 ",$754/mo,$178/mo,$70/mo,$0/mo
"1787 Westmoreland Ln NW, Atlanta, GA 30318","$430,000 ",3 bds,3 ba,"2,480 sqft","$417,597 ",Single Family,2015,Forced air,Central,Detached Garage,"6,098 sqft",Great solar potentialSun Numberâ„¢:Â 92.22,"$2,220 ","$1,578/mo",$383/mo,$151/mo,$108/mo
"2152 Main St NW, Atlanta, GA 30318","$275,000 ",4 bds,2 ba,"1,472 sqft","$265,517 ",Single Family,1930,Forced air,Central,Off street,0.44 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$1,351 ","$1,009/mo",$245/mo,$96/mo,$0/mo
"567 Holderness St SW, Atlanta, GA 30310","$199,000 ",2 bds,1 ba,"1,222 sqft","$191,167 ",Single Family,1900,Forced air,Central,2 spaces,0.34 acres,Great solar potentialSun Numberâ„¢:Â 79.42,$998 ,$751/mo,$177/mo,$70/mo,$0/mo
"2788 Bluestone Dr SW, Atlanta, GA 30331","$320,000 ",6 bds,4 ba,"4,212 sqft","$315,270 ",Single Family,2016,Forced air,,Attached Garage,"10,323 sqft",Good solar potentialSun Numberâ„¢:Â 63.43,"$1,609 ","$1,175/mo",$285/mo,$112/mo,$37/mo
"2947 Oldknow Dr NW, Atlanta, GA 30318","$289,000 ",4 bds,4 ba,"3,952 sqft","$274,646 ",Single Family,1965,Forced air,Central,2 spaces,0.97 acres,Good solar potentialSun Numberâ„¢:Â 64.22,"$1,420 ","$1,061/mo",$258/mo,$101/mo,$0/mo
"1470 S Gordon St SW, Atlanta, GA 30310","$419,000 ",3 bds,3 ba,"1,845 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"8,712 sqft",,"$2,058 ","$1,538/mo",$374/mo,$147/mo,$0/mo
"1816 N Ave Nw, Atlanta, GA 30318","$289,900 ",3 bds,2 ba,"1,480 sqft","$279,913 ",Single Family,1938,Forced air,Central,4 spaces,0.31 acres,,"$1,424 ","$1,064/mo",$258/mo,$101/mo,$0/mo
"86 Morris Brown Dr SW, Atlanta, GA 30314","$375,000 ",5 bds,5 ba,"3,805 sqft","$365,566 ",Single Family,1954,Forced air,Central,3 spaces,"8,929 sqft",Great solar potentialSun Numberâ„¢:Â 86.62,"$1,842 ","$1,376/mo",$334/mo,$131/mo,$0/mo
"747 Emily Pl NW, Atlanta, GA 30318","$289,000 ",4 bds,2 ba,"1,500 sqft","$282,555 ",Single Family,2007,Forced air,Central,4 spaces,0.26 acres,Great solar potentialSun Numberâ„¢:Â 92.22,"$1,420 ","$1,061/mo",$258/mo,$101/mo,$0/mo
"4896 Campbellton Rd SW, Atlanta, GA 30331","$80,000 ",3 bds,2 ba,"1,377 sqft",,Single Family,1957,Other,Other,,2.41 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,$427 ,$328/mo,$71/mo,$28/mo,$0/mo
"2503 Wyncreek Dr SW, Atlanta, GA 30331","$298,365 ",6 bds,5 ba,"4,210 sqft","$298,365 ",Single Family,2004,Forced air,Central,2 spaces,0.29 acres,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,466 ","$1,095/mo",$266/mo,$104/mo,$0/mo
"1834 Marietta Rd NW, Atlanta, GA 30318","$349,900 ",4 bds,4 ba,"2,277 sqft","$335,762 ",Single Family,1920,Forced air,Central,3 spaces,"9,173 sqft",Great solar potentialSun Numberâ„¢:Â 70.61,"$1,719 ","$1,284/mo",$312/mo,$122/mo,$0/mo
"501 Dargan Pl SW, Atlanta, GA 30310","$178,774 ",3 bds,2 ba,"1,570 sqft","$178,774 ",Single Family,1920,"Forced air, Other",Central,3 spaces,"6,303 sqft",Limited solar potentialSun Numberâ„¢:Â 58.62,$896 ,$674/mo,$159/mo,$63/mo,$0/mo
"2182 Cascade Rd SW, Atlanta, GA 30311","$187,500 ",3 bds,1 ba,"1,763 sqft","$183,895 ",Single Family,1925,Other,Central,3 spaces,"10,018 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,$940 ,$707/mo,$167/mo,$66/mo,$0/mo
"Cali Plan, Hampshire Park","$204,100 ",4 bds,2 ba,"1,774 sqft","$197,896 ",Single Family,2019,,,2 spaces,,,"$1,023 ",,,,
"706 S Grand Ave NW, Atlanta, GA 30318","$150,000 ",3 bds,2 ba,"1,317 sqft","$145,414 ",Single Family,1920,Forced air,Central,"Carport, Detached Garage","7,753 sqft",Candidate for a community solar programSun Numberâ„¢:Â 37.82,$752 ,$566/mo,$134/mo,$53/mo,$0/mo
"3160 Welmingham Dr SW # 264, Atlanta, GA 30331","$188,000 ",3 bds,3 ba,"1,376 sqft","$181,037 ",Single Family,2005,Forced air,Central,,,,$992 ,$709/mo,$168/mo,$66/mo,$50/mo
"Ashley Plan, Summit At Stonewall Tell","$334,990 ",4 bds,3 ba,"3,138 sqft","$321,426 ",Single Family,2019,,,2 spaces,,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,646 ",,,,
"Bellview Plan, Summit At Stonewall Tell","$315,990 ",4 bds,3 ba,"3,236 sqft","$303,523 ",Single Family,2019,,,2 spaces,,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,552 ",,,,
"2393 Baker Rd NW, Atlanta, GA 30318","$89,900 ",3 bds,2 ba,725 sqft,"$74,988 ",Single Family,1945,Other,Other,Detached Garage,"8,276 sqft",Good solar potentialSun Numberâ„¢:Â 69.02,$480 ,$369/mo,$80/mo,$31/mo,$0/mo
"887 Proctor Oaks St NW, Atlanta, GA 30318","$415,000 ",4 bds,4 ba,"2,492 sqft","$408,491 ",Townhouse,2017,Forced air,Central,4 spaces,"3,920 sqft",,"$2,239 ","$1,523/mo",$370/mo,$145/mo,$200/mo
"1905 Whittier Ave NW, Atlanta, GA 30318","$330,000 ",2 bds,2 ba,"1,192 sqft","$321,242 ",Single Family,1904,Gas,Central,2 spaces,"5,532 sqft",Good solar potentialSun Numberâ„¢:Â 66.61,"$1,621 ","$1,211/mo",$294/mo,$116/mo,$0/mo
"1290 1290 Graymont Dr, Atlanta, GA 30310","$130,000 ",3 bds,2 ba,"1,050 sqft","$127,327 ",Single Family,1950,Forced air,,,"5,662 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,$652 ,$490/mo,$116/mo,$46/mo,$0/mo
"1321 Lorenzo Dr SW, Atlanta, GA 30310","$229,900 ",5 bds,2 ba,"2,192 sqft","$221,385 ",Single Family,1949,Forced air,Central,2 spaces,0.32 acres,Great solar potentialSun Numberâ„¢:Â 80.22,"$1,153 ",$867/mo,$205/mo,$80/mo,$0/mo
"338 Dargan Pl SW, Atlanta, GA 30310","$25,000 ",4 bds,3 ba,"1,400 sqft",,Single Family,1935,Forced air,Central,,"5,135 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,$134 ,$103/mo,$22/mo,$9/mo,$0/mo
"3374 Collier Dr NW, Atlanta, GA 30331","$77,000 ",3 bds,2 ba,"1,126 sqft",,Single Family,1968,Forced air,Central,,"10,498 sqft",Good solar potentialSun Numberâ„¢:Â 65.02,$411 ,$316/mo,$69/mo,$27/mo,$0/mo
"1290 N Morningside Dr NE, Atlanta, GA 30306","$749,000 ",2 bds,2 ba,"1,569 sqft","$735,319 ",Single Family,1925,Forced air,Central,Detached Garage,"8,015 sqft",Limited solar potentialSun Numberâ„¢:Â 55.43,"$3,847 ","$2,917/mo",$668/mo,$262/mo,$0/mo
"385 Lindbergh Dr NE, Atlanta, GA 30305","$369,900 ",3 bds,2 ba,"1,474 sqft",,Single Family,1957,Forced air,Central,,0.3 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$1,817 ","$1,358/mo",$330/mo,$129/mo,$0/mo
"2987 Northside Dr NW, Atlanta, GA 30305","$1,200,000 ",3 bds,4 ba,"2,736 sqft",,Single Family,2004,"Forced air, Radiant",Central,2 spaces,0.54 acres,Great solar potentialSun Numberâ„¢:Â 73.01,"$6,164 ","$4,674/mo","$1,070/mo",$420/mo,$0/mo
"634 Delmar Ave SE, Atlanta, GA 30312","$765,000 ",5 bds,3 ba,"3,108 sqft","$750,665 ",Single Family,1920,Forced air,Central,,"8,102 sqft",Great solar potentialSun Numberâ„¢:Â 80.23,"$3,929 ","$2,980/mo",$682/mo,$268/mo,$0/mo
"563 Angier Ave NE, Atlanta, GA 30308","$649,900 ",4 bds,3 ba,"2,412 sqft","$640,607 ",Single Family,1920,Forced air,Central,2 spaces,"3,607 sqft",Great solar potentialSun Numberâ„¢:Â 90.63,"$3,338 ","$2,531/mo",$579/mo,$227/mo,$0/mo
"226 Lampkin St NE, Atlanta, GA 30312","$689,000 ",3 bds,3 ba,"1,823 sqft","$670,716 ",Single Family,2005,Forced air,Central,3 spaces,"4,356 sqft",Great solar potentialSun Numberâ„¢:Â 92.23,"$3,539 ","$2,684/mo",$614/mo,$241/mo,$0/mo
"247 Stovall St SE, Atlanta, GA 30316","$450,000 ",3 bds,2 ba,"1,200 sqft","$442,592 ",Single Family,1925,"Baseboard, Forced air",Central,2 spaces,"5,000 sqft",Great solar potentialSun Numberâ„¢:Â 92.23,"$2,210 ","$1,652/mo",$401/mo,$158/mo,$0/mo
"857 Mcwilliams Rd SE, Atlanta, GA 30315","$125,000 ",4 bds,2 ba,"2,108 sqft","$118,871 ",Single Family,1945,Forced air,None,Carport,0.58 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.22,$669 ,$514/mo,$111/mo,$44/mo,$0/mo
"3003 Rivermeade Dr NW, Atlanta, GA 30327","$1,050,000 ",4 bds,5 ba,"5,315 sqft","$1,005,747 ",Single Family,1968,Forced air,Central,Attached Garage,1 acre,Great solar potentialSun Numberâ„¢:Â 92.21,"$5,452 ","$4,098/mo",$936/mo,$368/mo,$50/mo
"439 Blackland Rd NW, Atlanta, GA 30342","$9,750,000 ",6 bds,12 ba,"15,198 sqft",,Single Family,2010,Forced air,Central,4 spaces,1.91 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$50,163 ","$38,057/mo","$8,694/mo","$3,413/mo",$0/mo
"676 Park Village Dr NE, Atlanta, GA 30306","$349,900 ",2 bds,2 ba,"1,024 sqft","$340,008 ",Townhouse,1987,Forced air,Central,2 spaces,"1,023 sqft",Great solar potentialSun Numberâ„¢:Â 73.03,"$1,969 ","$1,284/mo",$312/mo,$122/mo,$250/mo
"1022 Mayson Turner Rd NW, Atlanta, GA 30314","$55,535 ",5 bds,3 ba,"3,400 sqft","$55,535 ",Single Family,1928,"Forced air, Heat pump",Central,,"5,619 sqft",Limited solar potentialSun Numberâ„¢:Â 41.02,$297 ,$228/mo,$50/mo,$19/mo,$0/mo
"1185 Mount Paran Rd NW, Atlanta, GA 30327","$3,795,000 ",6 bds,9 ba,"13,500 sqft","$3,496,271 ",Single Family,2012,Forced air,Central,3 spaces,1.33 acres,Great solar potentialSun Numberâ„¢:Â 91.41,"$19,525 ","$14,813/mo","$3,384/mo","$1,328/mo",$0/mo
"4076 Glen Devon Dr NW, Atlanta, GA 30327","$3,680,000 ",7 bds,12 ba,"11,895 sqft",,Single Family,2005,Forced air,Central,Attached Garage,1.01 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$18,933 ","$14,364/mo","$3,281/mo","$1,288/mo",$0/mo
"360 Joseph E Lowery Blvd NW, Atlanta, GA 30314","$267,400 ",3 bds,3 ba,"1,584 sqft","$266,393 ",Single Family,1930,Forced air,Central,Off street,"3,920 sqft",Good solar potentialSun Numberâ„¢:Â 65.02,"$1,314 ",$981/mo,$238/mo,$94/mo,$0/mo
"1823 Monroe Dr NE, Atlanta, GA 30324","$569,900 ",3 bds,4 ba,"2,033 sqft","$555,472 ",Single Family,1987,"Forced air, Heat pump",Central,2 spaces,"3,484 sqft",Great solar potentialSun Numberâ„¢:Â 76.21,"$2,802 ","$2,094/mo",$508/mo,$199/mo,$0/mo
"406 E Side Ave SE, Atlanta, GA 30316","$650,000 ",5 bds,4 ba,"2,943 sqft","$625,944 ",Single Family,2018,Forced air,Central,4 spaces,"4,356 sqft",Limited solar potentialSun Numberâ„¢:Â 53.83,"$3,366 ","$2,537/mo",$601/mo,$228/mo,$0/mo
"855-B Saint Charles Ave NE, Atlanta, GA 30306","$799,900 ",4 bds,4 ba,"2,688 sqft",,Single Family,2000,Forced air,Central,Attached Garage,"5,662 sqft",,"$4,115 ","$3,122/mo",$713/mo,$280/mo,$0/mo
"1970 Thomasville Dr SE, Atlanta, GA 30315","$27,000 ",3 bds,1 ba,977 sqft,,Single Family,1966,Other,None,2 spaces,0.34 acres,Great solar potentialSun Numberâ„¢:Â 86.62,$145 ,$111/mo,$24/mo,$9/mo,$0/mo
"165 Sunset Ave NW, Atlanta, GA 30314","$275,000 ",3 bds,2 ba,"2,357 sqft","$266,462 ",Single Family,1920,Forced air,Central,2 spaces,"6,298 sqft",Great solar potentialSun Numberâ„¢:Â 91.42,"$1,351 ","$1,009/mo",$245/mo,$96/mo,$0/mo
"895 W Paces Ferry Rd NW, Atlanta, GA 30327","$5,650,000 ",8 bds,11 ba,"16,344 sqft",,Single Family,2007,Forced air,Central,Attached Garage,1.09 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$29,069 ","$22,053/mo","$5,038/mo","$1,978/mo",$0/mo
"1198 Milmar Dr NW, Atlanta, GA 30327","$675,000 ",3 bds,2 ba,"1,734 sqft","$643,854 ",Single Family,1960,Forced air,Central,2 spaces,0.76 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$3,473 ","$2,635/mo",$602/mo,$236/mo,$0/mo
"4220 Harris Trl NW, Atlanta, GA 30327","$4,500,000 ",6 bds,10 ba,"8,800 sqft","$4,328,242 ",Single Family,2019,"Forced air, Heat pump",Central,5 spaces,1.03 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$23,152 ","$17,565/mo","$4,013/mo","$1,575/mo",$0/mo
"86 Morris Brown Dr SW, Atlanta, GA 30314","$375,000 ",5 bds,5 ba,"3,805 sqft","$365,566 ",Single Family,1954,Forced air,Central,3 spaces,"8,929 sqft",Great solar potentialSun Numberâ„¢:Â 86.62,"$1,842 ","$1,376/mo",$334/mo,$131/mo,$0/mo
"110 Bowen Cir SW, Atlanta, GA 30315","$234,900 ",3 bds,3 ba,"1,320 sqft","$242,226 ",Single Family,2000,Forced air,Central,,"8,712 sqft",Good solar potentialSun Numberâ„¢:Â 69.83,"$1,237 ",$904/mo,$209/mo,$82/mo,$41/mo
"728 Garibaldi St SW, Atlanta, GA 30310","$500,000 ",4 bds,3 ba,"2,600 sqft","$474,813 ",Single Family,2006,Forced air,Central,Detached Garage,9 acres,Great solar potentialSun Numberâ„¢:Â 92.23,"$2,456 ","$1,835/mo",$446/mo,$175/mo,$0/mo
"747 Emily Pl NW, Atlanta, GA 30318","$289,000 ",4 bds,2 ba,"1,500 sqft","$282,555 ",Single Family,2007,Forced air,Central,4 spaces,0.26 acres,Great solar potentialSun Numberâ„¢:Â 92.22,"$1,420 ","$1,061/mo",$258/mo,$101/mo,$0/mo
"4896 Campbellton Rd SW, Atlanta, GA 30331","$80,000 ",3 bds,2 ba,"1,377 sqft",,Single Family,1957,Other,Other,,2.41 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,$428 ,$329/mo,$71/mo,$28/mo,$0/mo
"621 Moreland Ave SE, Atlanta, GA","$574,900 ",4 bds,3 ba,"2,548 sqft","$554,367 ",Single Family,2019,Forced air,Central,Detached Garage,"7,492 sqft",Good solar potentialSun Numberâ„¢:Â 66.63,"$2,846 ","$2,113/mo",$532/mo,$201/mo,$0/mo
"708 E Paces Ferry Rd NE, Atlanta, GA 30305","$1,195,000 ",5 bds,3 ba,"3,176 sqft","$1,148,287 ",Single Family,1930,Forced air,Central,3 spaces,0.5 acres,Great solar potentialSun Numberâ„¢:Â 73.81,"$6,164 ","$4,664/mo","$1,066/mo",$418/mo,$16/mo
"1011 Regis Rd SE, Atlanta, GA 30315","$160,000 ",3 bds,2 ba,975 sqft,"$157,766 ",Single Family,1959,Forced air,Central,1 space,"9,300 sqft",,$814 ,$616/mo,$143/mo,$56/mo,$0/mo
"231 Glenwood Ave SE, Atlanta, GA 30312","$395,000 ",3 bds,3 ba,"1,586 sqft","$384,544 ",Single Family,2003,Forced air,Central,,"4,748 sqft",Great solar potentialSun Numberâ„¢:Â 76.23,"$1,940 ","$1,450/mo",$352/mo,$138/mo,$0/mo
"2503 Wyncreek Dr SW, Atlanta, GA 30331","$298,365 ",6 bds,5 ba,"4,210 sqft","$298,365 ",Single Family,2004,Forced air,Central,2 spaces,0.29 acres,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,466 ","$1,095/mo",$266/mo,$104/mo,$0/mo
"1747 Moores Mill Rd NW, Atlanta, GA 30318","$435,000 ",4 bds,2 ba,"1,375 sqft","$424,883 ",Single Family,1952,Other,"Central, Other",Off street,0.28 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$2,137 ","$1,597/mo",$388/mo,$152/mo,$0/mo
"1834 Marietta Rd NW, Atlanta, GA 30318","$349,900 ",4 bds,4 ba,"2,277 sqft","$335,762 ",Single Family,1920,Forced air,Central,3 spaces,"9,173 sqft",Great solar potentialSun Numberâ„¢:Â 70.61,"$1,719 ","$1,284/mo",$312/mo,$122/mo,$0/mo
"501 Dargan Pl SW, Atlanta, GA 30310","$178,774 ",3 bds,2 ba,"1,570 sqft","$178,774 ",Single Family,1920,"Forced air, Other",Central,3 spaces,"6,303 sqft",Limited solar potentialSun Numberâ„¢:Â 58.62,$910 ,$688/mo,$159/mo,$63/mo,$0/mo
"2182 Cascade Rd SW, Atlanta, GA 30311","$187,500 ",3 bds,1 ba,"1,763 sqft","$183,895 ",Single Family,1925,Other,Central,3 spaces,"10,018 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,$954 ,$722/mo,$167/mo,$66/mo,$0/mo
"3184 Wood Valley Rd NW, Atlanta, GA 30327","$2,925,000 ",3 bds,4 ba,"5,278 sqft",,Single Family,2008,Forced air,Central,2 spaces,1 acre,,"$15,049 ","$11,417/mo","$2,608/mo","$1,024/mo",$0/mo
"Cali Plan, Hampshire Park","$204,100 ",4 bds,2 ba,"1,774 sqft","$197,896 ",Single Family,2019,,,2 spaces,,,"$1,039 ",,,,
"220 Lake Forrest Ln NE, Atlanta, GA","$2,875,000 ",5 bds,7 ba,"5,630 sqft",,Single Family,2019,Forced air,Central,3 spaces,0.41 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$14,792 ","$11,222/mo","$2,564/mo","$1,006/mo",$0/mo
"437 Griffin St NW, Atlanta, GA 30318","$259,900 ",3 bds,2 ba,"1,313 sqft","$252,049 ",Single Family,1940,Forced air,Central,,"4,477 sqft",Great solar potentialSun Numberâ„¢:Â 73.02,"$1,277 ",$954/mo,$232/mo,$91/mo,$0/mo
"706 S Grand Ave NW, Atlanta, GA 30318","$150,000 ",3 bds,2 ba,"1,317 sqft","$145,414 ",Single Family,1920,Forced air,Central,"Carport, Detached Garage","7,753 sqft",Candidate for a community solar programSun Numberâ„¢:Â 37.82,$764 ,$577/mo,$134/mo,$53/mo,$0/mo
"3160 Welmingham Dr SW # 264, Atlanta, GA 30331","$188,000 ",3 bds,3 ba,"1,376 sqft","$181,037 ",Single Family,2005,Forced air,Central,,,,"$1,007 ",$724/mo,$168/mo,$66/mo,$50/mo
"1980 W Paces Ferry Rd NW, Atlanta, GA 30327","$3,575,000 ",7 bds,11 ba,"9,947 sqft",,Single Family,1999,Heat pump,Central,1 space,2.82 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$18,393 ","$13,954/mo","$3,188/mo","$1,251/mo",$0/mo
"1066 N Virginia Ave NE, Atlanta, GA 30306","$795,000 ",3 bds,2 ba,"1,750 sqft","$784,109 ",Single Family,1930,Forced air,Central,1 space,"7,492 sqft",Great solar potentialSun Numberâ„¢:Â 89.83,"$4,090 ","$3,103/mo",$709/mo,$278/mo,$0/mo
"924 Cumberland Rd NE, Atlanta, GA","$2,395,000 ",6 bds,7 ba,"7,531 sqft","$2,280,952 ",Single Family,2019,Forced air,Central,Attached Garage,1.2 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.23,"$12,322 ","$9,348/mo","$2,136/mo",$838/mo,$0/mo
"Ashley Plan, Summit At Stonewall Tell","$334,990 ",4 bds,3 ba,"3,138 sqft","$321,426 ",Single Family,2019,,,2 spaces,,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,646 ",,,,
"3692 Castlegate Dr NW, Atlanta, GA 30327","$2,600,000 ",6 bds,7 ba,"6,200 sqft","$2,447,131 ",Single Family,2019,Forced air,Central,6 spaces,1.23 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$13,377 ","$10,149/mo","$2,318/mo",$910/mo,$0/mo
"Bellview Plan, Summit At Stonewall Tell","$315,990 ",4 bds,3 ba,"3,236 sqft","$303,523 ",Single Family,2019,,,2 spaces,,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,552 ",,,,
"2393 Baker Rd NW, Atlanta, GA 30318","$89,900 ",3 bds,2 ba,725 sqft,"$74,988 ",Single Family,1945,Other,Other,Detached Garage,"8,276 sqft",Good solar potentialSun Numberâ„¢:Â 69.02,$481 ,$370/mo,$80/mo,$31/mo,$0/mo
"887 Proctor Oaks St NW, Atlanta, GA 30318","$415,000 ",4 bds,4 ba,"2,492 sqft","$408,491 ",Townhouse,2017,Forced air,Central,4 spaces,"3,920 sqft",,"$2,239 ","$1,523/mo",$370/mo,$145/mo,$200/mo
"1905 Whittier Ave NW, Atlanta, GA 30318","$330,000 ",2 bds,2 ba,"1,192 sqft","$321,242 ",Single Family,1904,Gas,Central,2 spaces,"5,532 sqft",Good solar potentialSun Numberâ„¢:Â 66.61,"$1,621 ","$1,211/mo",$294/mo,$116/mo,$0/mo
"626 Parkway Dr NE # 14, Atlanta, GA","$575,000 ",3 bds,4 ba,#NAME?,"$554,555 ",Townhouse,2019,Forced air,Central,Attached Garage,,,"$3,077 ","$2,113/mo",$513/mo,$201/mo,$250/mo
"140 Barksdale Dr NE, Atlanta, GA 30309","$1,899,900 ",4 bds,5 ba,"6,300 sqft",,Single Family,2010,Forced air,Central,5 spaces,"7,392 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.23,"$9,775 ","$7,416/mo","$1,694/mo",$665/mo,$0/mo
"225 Blackland Rd NW, Atlanta, GA 30342","$5,495,000 ",6 bds,9 ba,"13,000 sqft","$5,112,071 ",Single Family,1971,"Forced air, Other","Central, Other",9 spaces,1.58 acres,,"$28,271 ","$21,448/mo","$4,900/mo","$1,923/mo",$0/mo
"3135 E Wood Valley Rd NW, Atlanta, GA 30327","$1,995,000 ",5 bds,6 ba,"4,800 sqft","$1,910,270 ",Single Family,2019,Forced air,Central,2 spaces,0.94 acres,,"$10,264 ","$7,787/mo","$1,779/mo",$698/mo,$0/mo
"1290 1290 Graymont Dr, Atlanta, GA 30310","$130,000 ",3 bds,2 ba,"1,050 sqft","$127,327 ",Single Family,1950,Forced air,,,"5,662 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,$662 ,$500/mo,$116/mo,$46/mo,$0/mo
"1321 Lorenzo Dr SW, Atlanta, GA 30310","$229,900 ",5 bds,2 ba,"2,192 sqft","$221,385 ",Single Family,1949,Forced air,Central,2 spaces,0.32 acres,Great solar potentialSun Numberâ„¢:Â 80.22,"$1,170 ",$885/mo,$205/mo,$80/mo,$0/mo
"1020 Parsons St SW, Atlanta, GA 30314","$285,000 ",3 bds,2 ba,"1,220 sqft","$279,794 ",Single Family,1924,Forced air,Central,,"5,009 sqft",Great solar potentialSun Numberâ„¢:Â 85.02,"$1,400 ","$1,046/mo",$254/mo,$100/mo,$0/mo
"338 Dargan Pl SW, Atlanta, GA 30310","$25,000 ",4 bds,3 ba,"1,400 sqft",,Single Family,1935,Forced air,Central,,"5,135 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,$134 ,$103/mo,$22/mo,$9/mo,$0/mo
"10 Valley Rd NW, Atlanta, GA 30305","$4,495,000 ",6 bds,8 ba,"6,991 sqft","$4,227,981 ",Single Family,1997,Forced air,Central,6 spaces,1.21 acres,Great solar potentialSun Numberâ„¢:Â 89.81,"$23,126 ","$17,545/mo","$4,008/mo","$1,573/mo",$0/mo
