Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"1261 Virginia Ave NE APT 4, Atlanta, GA",https://www.zillow.com/homedetails/1261-Virginia-Ave-NE-APT-4-Atlanta-GA-30306/2083794458_zpid/,"$1,195,900",New construction,5 ba,4 bds,"2,931 sqft","$1,153,305",Townhouse,2019,No Data,No Data,No Data,No Data,$408,"$6,350"
"972 Berne St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/972-Berne-St-SE-Atlanta-GA-30316/65460432_zpid/,"$245,000",Lot / Land for sale,,"7,492 sqft lot",,,,,,,,,,"$1,249"
"215 Stovall St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/215-Stovall-St-SE-Atlanta-GA-30316/35839208_zpid/,"$539,900",House for sale,3 ba,3 bds,"1,550 sqft","$524,609",Single Family,1925,Forced air,Central,Off street,"8,886 sqft",$348,"$2,651"
"794 Ralph Mcgill Blvd NE UNIT 8, Atlanta, GA 30312",https://www.zillow.com/homedetails/794-Ralph-Mcgill-Blvd-NE-UNIT-8-Atlanta-GA-30312/69378206_zpid/,"$395,000",Condo for sale,2 ba,2 bds,"1,253 sqft","$381,918",Condo,1936,Forced air,Central,1 space,$353/month,$315,"$2,292"
"2353 Rover Ct # 26, Atlanta, GA",https://www.zillow.com/homedetails/2353-Rover-Ct-26-Atlanta-GA-30317/2082354156_zpid/,"$492,900",New construction,4 ba,4 bds,"2,400 sqft","$476,256",Single Family,2019,Forced air,Central,Attached Garage,No Data,$205,"$2,556"
"821 Ralph Mcgill Blvd NE APT 3309, Atlanta, GA 30306",https://www.zillow.com/homedetails/821-Ralph-Mcgill-Blvd-NE-APT-3309-Atlanta-GA-30306/82617217_zpid/,"$350,000",Condo for sale,2 ba,2 bds,"1,049 sqft","$345,446",Condo,2001,Heat pump,Central,2 spaces,$327/month,$334,"$2,045"
"734 N Highland Ave NE APT 4, Atlanta, GA 30306",https://www.zillow.com/homedetails/734-N-Highland-Ave-NE-APT-4-Atlanta-GA-30306/35851184_zpid/,"$305,000",Condo for sale,1 ba,2 bds,"1,050 sqft","$299,361",Condo,1910,Forced air,Central,Off street,$260/month,$290,"$1,757"
"1634 Ponce De Leon Ave NE UNIT 209, Atlanta, GA 30307",https://www.zillow.com/homedetails/1634-Ponce-De-Leon-Ave-NE-UNIT-209-Atlanta-GA-30307/2082354554_zpid/,"$375,000",Condo for sale,3 ba,3 bds,"1,702 sqft","$351,851",Condo,1970,"Forced air, Heat pump",Central,2 spaces,$407/month,$220,"$2,261"
"2357 Rover Ct # 27, Atlanta, GA",https://www.zillow.com/homedetails/2357-Rover-Ct-27-Atlanta-GA-30317/2082354581_zpid/,"$489,900",New construction,4 ba,3 bds,"2,400 sqft","$473,366",Single Family,2019,Forced air,Central,Attached Garage,No Data,$204,"$2,541"
"421 2nd Ave NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/421-2nd-Ave-NE-Atlanta-GA-30317/14465762_zpid/,"$414,000",House for sale,2 ba,3 bds,"1,215 sqft","$397,610",Single Family,1936,Forced air,Central,Off street,"4,356 sqft",$341,"$2,046"
"749 Baliwick Dr SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/749-Baliwick-Dr-SE-Atlanta-GA-30312/69378574_zpid/,"$420,000",Townhouse for sale,4 ba,3 bds,"1,804 sqft","$414,913",Townhouse,2004,Forced air,Central,2 spaces,"1,001 sqft",$233,"$2,197"
"201 S Howard St SE UNIT 2, Atlanta, GA 30317",https://www.zillow.com/homedetails/201-S-Howard-St-SE-UNIT-2-Atlanta-GA-30317/97969025_zpid/,"$345,000",Townhouse for sale,3 ba,2 bds,"1,832 sqft","$335,052",Townhouse,2009,No Data,Central,Attached Garage,723 sqft,$188,"$1,855"
"145 Flat Shoals Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/145-Flat-Shoals-Ave-SE-Atlanta-GA-30316/88828147_zpid/,"$585,000",House for sale,3 ba,3 bds,"2,652 sqft","$577,920",Single Family,2007,Forced air,Central,No Data,"8,799 sqft",$221,"$2,875"
"2357 Rover Ct, Atlanta, GA",https://www.zillow.com/homedetails/2357-Rover-Ct-Atlanta-GA-30317/2082366526_zpid/,"$489,900",New construction,4 ba,3 bds,"2,412 sqft","$481,430",Single Family,2019,No Data,No Data,No Data,No Data,$203,"$2,541"
"2353 Rover Ct, Atlanta, GA",https://www.zillow.com/homedetails/2353-Rover-Ct-Atlanta-GA-30317/2082367519_zpid/,"$492,900",New construction,4 ba,4 bds,"2,412 sqft","$483,478",Single Family,2018,No Data,No Data,No Data,No Data,$204,"$2,556"
"700 Argonne Ave NE APT 6, Atlanta, GA 30308",https://www.zillow.com/homedetails/700-Argonne-Ave-NE-APT-6-Atlanta-GA-30308/2082432871_zpid/,"$189,900",Condo for sale,1 ba,2 bds,667 sqft,"$183,733",Condo,1965,Other,Central,1 space,$330/month,$285,"$1,298"
"750 Winton Way, Atlanta, GA",https://www.zillow.com/homedetails/750-Winton-Way-Atlanta-GA-30312/283677540_zpid/,"$499,900",New construction,4 ba,3 bds,"2,073 sqft","$495,336",Townhouse,2019,Gas,No Data,1 space,"3,223 sqft",$241,"$2,454"
"742 Memorial Dr SE # 22, Atlanta, GA",https://www.zillow.com/homedetails/742-Memorial-Dr-SE-22-Atlanta-GA-30316/2082375246_zpid/,"$319,900",New construction,1 ba,1 bd,860 sqft,"$313,985",Condo,2019,No Data,No Data,1 space,$259/month,$372,"$1,830"
"1026 Saint Charles Ave NE APT 11, Atlanta, GA 30306",https://www.zillow.com/homedetails/1026-Saint-Charles-Ave-NE-APT-11-Atlanta-GA-30306/65460796_zpid/,"$215,000",Condo for sale,1 ba,1 bd,706 sqft,"$213,949",Condo,1920,Forced air,Central,2 spaces,$224/month,$305,"$1,320"
"1484 Mcpherson Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1484-Mcpherson-Ave-SE-Atlanta-GA-30316/14457014_zpid/,"$479,900",House for sale,3 ba,3 bds,"2,200 sqft","$473,773",Single Family,1959,"Forced air, Heat pump",Central,2 spaces,"4,356 sqft",$218,"$2,372"
"C Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2087593734_zpid/,"$569,900+",New construction,2 ba,1 bd,"1,228 sqft","$553,789",Condo,2019,No Data,No Data,2 spaces,No Data,$464,"$2,801"
"1892 Gordon Mnr NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1892-Gordon-Mnr-NE-Atlanta-GA-30307/70833119_zpid/,"$399,999",Condo for sale,2 ba,2 bds,"1,518 sqft","$388,069",Condo,2005,Forced air,Central,No Data,$440/month,$264,"$2,417"
"170 Boulevard SE APT H113, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-H113-Atlanta-GA-30312/2089568547_zpid/,"$319,000",Condo for sale,1 ba,1 bd,896 sqft,"$308,495",Condo,2006,Forced air,Central,Detached Garage,$245/month,$356,"$1,811"
"343 8th St NE APT A2, Atlanta, GA 30309",https://www.zillow.com/homedetails/343-8th-St-NE-APT-A2-Atlanta-GA-30309/2120447591_zpid/,"$259,000",Condo for sale,1 ba,2 bds,810 sqft,"$250,471",Condo,2019,Forced air,Central,No Data,$18/month,$320,"$1,290"
"1376 Hooper Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1376-Hooper-Ave-NE-Atlanta-GA-30307/14479051_zpid/,"$429,900",House for sale,2 ba,2 bds,"1,029 sqft","$402,444",Single Family,1900,Forced air,Central,No Data,"8,712 sqft",$418,"$2,125"
"318 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/318-Gibson-St-SE-Atlanta-GA-30316/2082390364_zpid/,"$699,900",New construction,5 ba,3 bds,"2,907 sqft","$686,445",Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,537"
"316 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/316-Gibson-St-SE-Atlanta-GA-30316/2082390362_zpid/,"$699,900",New construction,5 ba,3 bds,"2,907 sqft","$686,445",Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,537"
"302 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/302-Gibson-St-SE-Atlanta-GA-30316/2082390365_zpid/,"$574,900",New construction,4 ba,2 bds,"2,277 sqft","$566,229",Townhouse,2019,No Data,No Data,No Data,No Data,$252,"$2,825"
"322 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/322-Gibson-St-SE-Atlanta-GA-30316/2082390367_zpid/,"$729,900",New construction,5 ba,3 bds,"2,907 sqft","$712,500",Townhouse,2019,No Data,No Data,No Data,No Data,$251,"$3,689"
"320 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/320-Gibson-St-SE-Atlanta-GA-30316/2082390368_zpid/,"$699,900",New construction,5 ba,3 bds,"2,907 sqft","$686,445",Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,537"
"300 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/300-Gibson-St-SE-Atlanta-GA-30316/2082390366_zpid/,"$599,900",New construction,4 ba,2 bds,"2,277 sqft","$590,807",Townhouse,2019,No Data,No Data,No Data,No Data,$263,"$2,948"
"304 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/304-Gibson-St-SE-Atlanta-GA-30316/2082390371_zpid/,"$574,900",New construction,4 ba,2 bds,"2,277 sqft","$566,229",Townhouse,2019,No Data,No Data,No Data,No Data,$252,"$2,825"
"195 Arizona Ave NE UNIT 148, Atlanta, GA 30307",https://www.zillow.com/homedetails/195-Arizona-Ave-NE-UNIT-148-Atlanta-GA-30307/70832933_zpid/,"$272,000",Condo for sale,2 ba,1 bd,"1,354 sqft","$258,048",Condo,2003,Other,Central,1 space,$228/month,$201,"$1,572"
"640 Glen Iris Dr NE APT 310, Atlanta, GA 30308",https://www.zillow.com/homedetails/640-Glen-Iris-Dr-NE-APT-310-Atlanta-GA-30308/82629815_zpid/,"$440,000",Condo for sale,2 ba,2 bds,"1,214 sqft","$434,912",Condo,2001,Forced air,Central,2 spaces,$417/month,$362,"$2,577"
"361 Atlanta Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/361-Atlanta-Ave-SE-Atlanta-GA-30315/35877149_zpid/,"$290,000",House for sale,1 ba,2 bds,988 sqft,"$285,465",Single Family,1935,Forced air,Central,No Data,"9,252 sqft",$294,"$1,424"
"1635 Jobeth Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1635-Jobeth-Ave-SE-Atlanta-GA-30316/2082394890_zpid/,"$388,000",House for sale,3 ba,3 bds,"1,449 sqft","$374,749",Single Family,2003,Forced air,Central,No Data,0.3 acres,$268,"$1,918"
"62 Lannon Ave NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/62-Lannon-Ave-NE-Atlanta-GA-30317/14465192_zpid/,"$685,000",House for sale,4 ba,4 bds,"2,748 sqft",,Single Family,2019,Forced air,Central,2 spaces,"8,712 sqft",$249,"$3,485"
"1055 Piedmont Ave NE UNIT 106, Atlanta, GA 30309",https://www.zillow.com/homedetails/1055-Piedmont-Ave-NE-UNIT-106-Atlanta-GA-30309/2082396808_zpid/,"$294,900",Condo for sale,1 ba,1 bd,746 sqft,"$285,069",Condo,2006,No Data,No Data,Off street,$293/month,$395,"$1,741"
"242 Carlyle Park Dr NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/242-Carlyle-Park-Dr-NE-Atlanta-GA-30307/70828948_zpid/,"$299,900",Townhouse for sale,2 ba,2 bds,"1,172 sqft","$297,541",Townhouse,2004,No Data,Central,Attached Garage,435 sqft,$256,"$1,482"
"316 Gibson St SE # 9, Atlanta, GA 30316",https://www.zillow.com/homedetails/316-Gibson-St-SE-9-Atlanta-GA-30316/2082401537_zpid/,"$699,900",Townhouse for sale,5 ba,3 bds,"2,907 sqft","$683,902",Townhouse,No Data,No Data,No Data,No Data,No Data,$241,"$3,537"
"318 Gibson St SE # 8, Atlanta, GA 30316",https://www.zillow.com/homedetails/318-Gibson-St-SE-8-Atlanta-GA-30316/2082401656_zpid/,"$699,900",Townhouse for sale,5 ba,3 bds,"2,907 sqft","$683,902",Townhouse,No Data,No Data,No Data,No Data,No Data,$241,"$3,537"
"320 Gibson St SE # 7, Atlanta, GA 30316",https://www.zillow.com/homedetails/320-Gibson-St-SE-7-Atlanta-GA-30316/2082401690_zpid/,"$699,900",Townhouse for sale,5 ba,3 bds,"2,907 sqft","$683,902",Townhouse,No Data,No Data,No Data,No Data,No Data,$241,"$3,537"
"322 Gibson St SE # 6, Atlanta, GA 30316",https://www.zillow.com/homedetails/322-Gibson-St-SE-6-Atlanta-GA-30316/2082401760_zpid/,"$729,900",Townhouse for sale,5 ba,3 bds,"2,907 sqft","$711,063",Townhouse,No Data,No Data,No Data,No Data,No Data,$251,"$3,689"
"722 Province Pl SE # 113, Atlanta, GA 30312",https://www.zillow.com/homedetails/722-Province-Pl-SE-113-Atlanta-GA-30312/2082407306_zpid/,"$385,000",Townhouse for sale,4 ba,3 bds,"1,850 sqft",,Townhouse,2005,No Data,No Data,2 spaces,871 sqft,$208,"$2,025"
"431 Leonardo Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/431-Leonardo-Ave-NE-Atlanta-GA-30307/14478398_zpid/,"$525,000",House for sale,2 ba,4 bds,"1,828 sqft","$515,211",Single Family,1982,Forced air,Central,No Data,"8,712 sqft",$287,"$2,595"
"54 Boulevard SE, Atlanta, GA",https://www.zillow.com/homedetails/54-Boulevard-SE-Atlanta-GA-30312/2100309676_zpid/,"$925,000",New construction,4 ba,3 bds,"2,440 sqft","$901,875",Single Family,2019,Forced air,Central,2 spaces,"3,789 sqft",$379,"$4,675"
"890 Memorial Dr SE UNIT 107, Atlanta, GA 30316",https://www.zillow.com/homedetails/890-Memorial-Dr-SE-UNIT-107-Atlanta-GA-30316/121352510_zpid/,"$380,000",House for sale,2 ba,2 bds,"1,338 sqft","$370,193",Single Family,2008,Forced air,Central,1 space,"1,350 sqft",$284,"$2,166"
"890 Memorial Dr SE UNIT 107, Atlanta, GA 30316",https://www.zillow.com/homedetails/890-Memorial-Dr-SE-UNIT-107-Atlanta-GA-30316/121352510_zpid/,"$380,000",House for sale,2 ba,2 bds,"1,338 sqft","$370,193",Single Family,2008,Forced air,Central,1 space,"1,350 sqft",$284,"$2,166"
"609 East Ave NE # 1, Atlanta, GA",https://www.zillow.com/homedetails/609-East-Ave-NE-1-Atlanta-GA-30312/2082411323_zpid/,"$1,149,500",New construction,4 ba,3 bds,"2,740 sqft","$1,112,841",Townhouse,2019,No Data,No Data,No Data,"8,450 sqft",$420,"$5,810"
"400 Village Pkwy NE APT 143, Atlanta, GA 30306",https://www.zillow.com/homedetails/400-Village-Pkwy-NE-APT-143-Atlanta-GA-30306/82616169_zpid/,"$385,000",Condo for sale,2 ba,1 bd,"1,131 sqft","$383,465",Condo,2001,Forced air,Central,1 space,$249/month,$340,"$2,139"
"308 Gibson St SE # 5, Atlanta, GA 30316",https://www.zillow.com/homedetails/308-Gibson-St-SE-5-Atlanta-GA-30316/2082413513_zpid/,"$599,900",Townhouse for sale,4 ba,2 bds,"2,277 sqft","$590,852",Townhouse,No Data,No Data,No Data,No Data,No Data,$263,"$2,948"
"1355 Euclid Ave NE # 16, Atlanta, GA 30307",https://www.zillow.com/homedetails/1355-Euclid-Ave-NE-16-Atlanta-GA-30307/2082414956_zpid/,"$165,000",Condo for sale,1 ba,1 bd,492 sqft,"$159,615",Condo,1961,No Data,No Data,1 space,$218/month,$335,"$1,065"
"1665 Cecile Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1665-Cecile-Ave-SE-Atlanta-GA-30316/14455509_zpid/,"$285,000",House for sale,2 ba,2 bds,"1,085 sqft","$295,721",Single Family,1947,Other,Central,1 space,0.3 acres,$263,"$1,409"
"681 Home Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/681-Home-Ave-SE-Atlanta-GA-30312/35869480_zpid/,"$420,000",House for sale,2 ba,3 bds,"1,192 sqft","$414,814",Single Family,1935,Forced air,Other,Off street,0.31 acres,$352,"$2,062"
"5 Lullwater Est NE # 5, Atlanta, GA 30307",https://www.zillow.com/homedetails/5-Lullwater-Est-NE-5-Atlanta-GA-30307/2122654354_zpid/,"$329,000",Condo for sale,2 ba,2 bds,"1,694 sqft","$320,320",Condo,1983,Forced air,Central,2 spaces,$167/month,$194,"$1,793"
"881 Memorial Dr SE UNIT 116, Atlanta, GA 30316",https://www.zillow.com/homedetails/881-Memorial-Dr-SE-UNIT-116-Atlanta-GA-30316/82617565_zpid/,"$315,000",Condo for sale,1 ba,1 bd,"1,031 sqft","$311,062",Condo,1920,Forced air,Central,1 space,$170/month,$306,"$1,716"
"570 Flat Shoals Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/570-Flat-Shoals-Ave-SE-Atlanta-GA-30316/14455916_zpid/,"$600,000",House for sale,3 ba,3 bds,"1,609 sqft","$593,908",Single Family,1920,Other,Central,6 spaces,"8,712 sqft",$373,"$2,969"
"2388 Hosea L Williams Dr NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2388-Hosea-L-Williams-Dr-NE-Atlanta-GA-30317/14465715_zpid/,"$299,500",House for sale,1 ba,3 bds,"1,125 sqft","$292,619",Single Family,1986,Forced air,Other,4 spaces,"8,712 sqft",$266,"$1,480"
"741 Frederica St NE APT 7, Atlanta, GA 30306",https://www.zillow.com/homedetails/741-Frederica-St-NE-APT-7-Atlanta-GA-30306/2085042084_zpid/,"$215,000",Condo for sale,1 ba,1 bd,717 sqft,"$211,100",Condo,1929,Forced air,Central,1 space,$253/month,$300,"$1,349"
"667 John Wesley Dobbs Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/667-John-Wesley-Dobbs-Ave-NE-Atlanta-GA-30312/35860199_zpid/,"$725,000",House for sale,4 ba,3 bds,"2,070 sqft","$711,936",Single Family,2007,Heat pump,Central,2 spaces,"3,484 sqft",$350,"$3,664"
"541 Oakland Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/541-Oakland-Ave-SE-Atlanta-GA-30312/2082429065_zpid/,"$365,000",Lot / Land for sale,,"6,316 sqft lot",,,,,,,,,,"$1,792"
"895 Cherokee Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/895-Cherokee-Ave-SE-Atlanta-GA-30315/35877174_zpid/,"$475,000",House for sale,2 ba,3 bds,"1,302 sqft","$468,507",Single Family,1910,"Forced air, Heat pump",Central,2 spaces,"3,789 sqft",$365,"$2,332"
"575 Flat Shoals Ave SE APT 10, Atlanta, GA 30316",https://www.zillow.com/homedetails/575-Flat-Shoals-Ave-SE-APT-10-Atlanta-GA-30316/61918522_zpid/,"$196,000",Condo for sale,1 ba,2 bds,810 sqft,"$190,090",Condo,1962,Forced air,Central,No Data,$200/month,$242,"$1,206"
"195 Arizona Ave NE UNIT 108, Atlanta, GA 30307",https://www.zillow.com/homedetails/195-Arizona-Ave-NE-UNIT-108-Atlanta-GA-30307/70838494_zpid/,"$309,000",Condo for sale,2 ba,2 bds,"1,354 sqft","$299,854",Condo,2003,Electric,Other,1 space,$320/month,$228,"$1,847"
"170 Boulevard SE APT E305, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-E305-Atlanta-GA-30312/2120351657_zpid/,"$349,900",Condo for sale,1 ba,1 bd,"1,110 sqft","$343,431",Condo,2007,Forced air,Central,1 space,$287/month,$315,"$2,005"
"1742 Hosea L Williams Dr NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1742-Hosea-L-Williams-Dr-NE-Atlanta-GA-30317/14466806_zpid/,"$275,000",House for sale,1 ba,3 bds,"1,122 sqft","$271,489",Single Family,1991,Forced air,Central,No Data,"8,712 sqft",$245,"$1,359"
"2899 Lynda Pl, Decatur, GA 30032",https://www.zillow.com/homedetails/2899-Lynda-Pl-Decatur-GA-30032/14443965_zpid/,$--,Pre-foreclosure / Auction,2 ba,3 bds,"1,360 sqft",,Single Family,1958,Forced air,Central,Carport,0.3 acres,,$0
"D205 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2085929962_zpid/,"$579,900+",New construction,2 ba,2 bds,"1,172 sqft","$564,418",Condo,2019,No Data,No Data,2 spaces,No Data,$495,"$2,850"
"1072 Piedmont Ave NE APT 101, Atlanta, GA 30309",https://www.zillow.com/homedetails/1072-Piedmont-Ave-NE-APT-101-Atlanta-GA-30309/2082439149_zpid/,"$375,000",Condo for sale,2 ba,2 bds,"1,182 sqft","$373,205",Condo,1982,No Data,No Data,4 spaces,$305/month,$317,"$2,146"
"195 Arizona Ave NE UNIT 155, Atlanta, GA 30307",https://www.zillow.com/homedetails/195-Arizona-Ave-NE-UNIT-155-Atlanta-GA-30307/70832560_zpid/,"$258,000",Condo for sale,2 ba,1 bd,996 sqft,"$251,051",Condo,2003,Forced air,"Central, Other",1 space,$223/month,$259,"$1,498"
"211 Eleanor St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/211-Eleanor-St-SE-Atlanta-GA-30317/14457352_zpid/,"Est. $176,756",Pre-foreclosure / Auction,1 ba,2 bds,910 sqft,"$176,756",Single Family,1935,Forced air,Central,2 spaces,"8,712 sqft",,$907
"307 Augusta Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/307-Augusta-Ave-SE-Atlanta-GA-30315/35877589_zpid/,"$679,900",New construction,3 ba,4 bds,"2,364 sqft","$678,371",Townhouse,2019,Forced air,Central,No Data,"8,712 sqft",$288,"$3,436"
"308 Little St SE, Atlanta, GA",https://www.zillow.com/homedetails/308-Little-St-SE-Atlanta-GA-30315/2082454256_zpid/,"$649,900",New construction,3 ba,4 bds,"2,364 sqft","$645,567",Townhouse,2019,No Data,No Data,No Data,No Data,$275,"$3,285"
"1200 Ponce De Leon Ave NE # A19, Atlanta, GA",https://www.zillow.com/homedetails/1200-Ponce-De-Leon-Ave-NE-A19-Atlanta-GA-30306/2082456762_zpid/,"$845,900",New construction,4 ba,3 bds,"2,300 sqft",,Condo,2019,Forced air,Central,Detached Garage,No Data,$368,"$4,303"
"77 Clay St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/77-Clay-St-SE-Atlanta-GA-30317/2082458606_zpid/,"$269,900",House for sale,-- ba,Studio,-- sqft,"$266,013",Single Family,1974,No Data,No Data,No Data,0.64 acres,No Data,"$1,334"
"1751 Stanwood Ave, Atlanta, GA 30317",https://www.zillow.com/homedetails/1751-Stanwood-Ave-Atlanta-GA-30317/2082458609_zpid/,"$269,900",Lot / Land for sale,,0.64 acres lot,,,,,,,,,,"$1,334"
"73 Clay St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/73-Clay-St-SE-Atlanta-GA-30317/2082458605_zpid/,"$269,900",House for sale,-- ba,Studio,-- sqft,"$266,013",Single Family,1974,No Data,No Data,No Data,0.64 acres,No Data,"$1,334"
"1300 Dekalb Ave NE UNIT 122, Atlanta, GA 30307",https://www.zillow.com/homedetails/1300-Dekalb-Ave-NE-UNIT-122-Atlanta-GA-30307/89588881_zpid/,"$250,000",Condo for sale,1 ba,1 bd,856 sqft,"$241,417",Condo,2008,Forced air,Central,1 space,$208/month,$292,"$1,491"
"591 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/591-Moreland-Ave-SE-Atlanta-GA-30316/35836748_zpid/,"$419,000",House for sale,2 ba,2 bds,"1,235 sqft",,Single Family,1920,Forced air,Central,1 space,"7,344 sqft",$339,"$2,057"
"187 Cleveland St SE # B, Atlanta, GA 30316",https://www.zillow.com/homedetails/187-Cleveland-St-SE-B-Atlanta-GA-30316/2097519495_zpid/,"$619,000",Townhouse for sale,3 ba,3 bds,"1,812 sqft","$605,829",Townhouse,2016,Forced air,Central,2 spaces,"3,136 sqft",$342,"$3,128"
"294A Ferguson St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/294A-Ferguson-St-NE-Atlanta-GA-30307/2082470583_zpid/,"$875,000",House for sale,5 ba,4 bds,"2,800 sqft",,Single Family,2019,Forced air,Central,2 spaces,0.7 acres,$312,"$4,451"
"344 Wilkinson Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/344-Wilkinson-Dr-SE-Atlanta-GA-30317/14457275_zpid/,"$950,000",House for sale,2 ba,3 bds,"1,725 sqft","$933,046",Single Family,1946,Other,Central,2 spaces,2.1 acres,$551,"$4,833"
"559 559: Morgan St, Atlanta, GA 30308",https://www.zillow.com/homedetails/559-559-Morgan-St-Atlanta-GA-30308/2082472941_zpid/,"$474,995",House for sale,2 ba,3 bds,"1,296 sqft",,Single Family,1960,Forced air,Central,On street,"3,301 sqft",$367,"$2,332"
"764 Memorial Dr SE # 27, Atlanta, GA",https://www.zillow.com/homedetails/764-Memorial-Dr-SE-27-Atlanta-GA-30316/2082479987_zpid/,"$579,900",New construction,4 ba,3 bds,"2,075 sqft","$573,800",Townhouse,2018,No Data,No Data,1 space,0.96 acres,$279,"$3,181"
"2785 Memorial Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2785-Memorial-Dr-SE-Atlanta-GA-30317/14457571_zpid/,"$210,000",Lot / Land for sale,,"8,712 sqft lot",,,,,,,,,,"$1,078"
"310 Mcdonough Blvd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/310-Mcdonough-Blvd-SE-Atlanta-GA-30315/2140067292_zpid/,"$1,250,000",Lot / Land for sale,,1.63 acres lot,,,,,,,,,,"$6,318"
"2068 Dekalb Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/2068-Dekalb-Ave-NE-Atlanta-GA-30307/2091615445_zpid/,"$315,000",Lot / Land for sale,,0.3 acres lot,,,,,,,,,,"$1,557"
"968 Saint Charles Ave NE APT 102, Atlanta, GA 30306",https://www.zillow.com/homedetails/968-Saint-Charles-Ave-NE-APT-102-Atlanta-GA-30306/65460697_zpid/,"$259,000",Condo for sale,1 ba,1 bd,700 sqft,"$254,211",Condo,1940,Heat pump,Central,On street,$275/month,$370,"$1,547"
"949 N Ormewood Park Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/949-N-Ormewood-Park-Dr-SE-Atlanta-GA-30316/92192436_zpid/,"$650,000",Townhouse for sale,4 ba,4 bds,"2,352 sqft","$649,553",Townhouse,2008,Forced air,Central,2 spaces,"1,176 sqft",$276,"$3,408"
"934 Mauldin St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/934-Mauldin-St-SE-Atlanta-GA-30316/35839039_zpid/,"$450,000",Lot / Land for sale,,"8,319 sqft lot",,,,,,,,,,"$2,209"
"1394 Knob Hill Ct SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1394-Knob-Hill-Ct-SE-Atlanta-GA-30316/171404752_zpid/,"$89,900",Lot / Land for sale,,"6,098 sqft lot",,,,,,,,,,$655
"881 Memorial Dr SE UNIT 102, Atlanta, GA 30316",https://www.zillow.com/homedetails/881-Memorial-Dr-SE-UNIT-102-Atlanta-GA-30316/82615412_zpid/,"$550,000",Condo for sale,2 ba,2 bds,"2,403 sqft",,Condo,1930,Forced air,"Central, Other",2 spaces,$396/month,$229,"$3,096"
"69 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/69-Moreland-Ave-SE-Atlanta-GA-30316/35839000_zpid/,"$575,000",Lot / Land for sale,,0.42 acres lot,,,,,,,,,,"$2,826"
